datetime,file,cluster_path,new_image_path,time_cost,k,actual_iteration
07:36:54-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_32/cluster-0/part-r-00000,spark_output/artificial_rgb16bit_32/part-00000,14.033,32,01
07:37:07-21/11/2023,artificial_rgb16bit_linear,hadoop_output/artificial_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/artificial_rgb16bit_linear_32/part-00000,12.538,32,01
07:37:19-21/11/2023,artificial_rgb8bit,hadoop_output/artificial_rgb8bit_32/cluster-0/part-r-00000,spark_output/artificial_rgb8bit_32/part-00000,12.428,32,01
07:38:36-21/11/2023,big_building_rgb16bit,hadoop_output/big_building_rgb16bit_32/cluster-0/part-r-00000,spark_output/big_building_rgb16bit_32/part-00000,76.312,32,01
07:39:52-21/11/2023,big_building_rgb16bit_linear,hadoop_output/big_building_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/big_building_rgb16bit_linear_32/part-00000,75.919,32,01
07:41:08-21/11/2023,big_building_rgb8bit,hadoop_output/big_building_rgb8bit_32/cluster-0/part-r-00000,spark_output/big_building_rgb8bit_32/part-00000,76.354,32,01
07:42:02-21/11/2023,big_tree_rgb16bit,hadoop_output/big_tree_rgb16bit_32/cluster-0/part-r-00000,spark_output/big_tree_rgb16bit_32/part-00000,54.073,32,01
07:42:55-21/11/2023,big_tree_rgb16bit_linear,hadoop_output/big_tree_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/big_tree_rgb16bit_linear_32/part-00000,52.712,32,01
07:43:48-21/11/2023,big_tree_rgb8bit,hadoop_output/big_tree_rgb8bit_32/cluster-0/part-r-00000,spark_output/big_tree_rgb8bit_32/part-00000,53.508,32,01
07:44:10-21/11/2023,bridge_rgb16bit,hadoop_output/bridge_rgb16bit_32/cluster-0/part-r-00000,spark_output/bridge_rgb16bit_32/part-00000,21.729,32,01
07:44:32-21/11/2023,bridge_rgb8bit,hadoop_output/bridge_rgb8bit_32/cluster-0/part-r-00000,spark_output/bridge_rgb8bit_32/part-00000,21.516,32,01
07:44:43-21/11/2023,cathedral_rgb16bit,hadoop_output/cathedral_rgb16bit_32/cluster-0/part-r-00000,spark_output/cathedral_rgb16bit_32/part-00000,11.61,32,01
07:44:55-21/11/2023,cathedral_rgb16bit_linear,hadoop_output/cathedral_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/cathedral_rgb16bit_linear_32/part-00000,11.627,32,01
07:45:07-21/11/2023,cathedral_rgb8bit,hadoop_output/cathedral_rgb8bit_32/cluster-0/part-r-00000,spark_output/cathedral_rgb8bit_32/part-00000,11.688,32,01
07:45:27-21/11/2023,deer_rgb16bit,hadoop_output/deer_rgb16bit_32/cluster-0/part-r-00000,spark_output/deer_rgb16bit_32/part-00000,20.712,32,01
07:45:48-21/11/2023,deer_rgb8bit,hadoop_output/deer_rgb8bit_32/cluster-0/part-r-00000,spark_output/deer_rgb8bit_32/part-00000,20.638,32,01
07:46:03-21/11/2023,fireworks_rgb16bit,hadoop_output/fireworks_rgb16bit_32/cluster-0/part-r-00000,spark_output/fireworks_rgb16bit_32/part-00000,14.565,32,01
07:46:18-21/11/2023,fireworks_rgb16bit_linear,hadoop_output/fireworks_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/fireworks_rgb16bit_linear_32/part-00000,15.81,32,01
07:46:33-21/11/2023,fireworks_rgb8bit,hadoop_output/fireworks_rgb8bit_32/cluster-0/part-r-00000,spark_output/fireworks_rgb8bit_32/part-00000,14.152,32,01
07:46:39-21/11/2023,flower_foveon_rgb16bit,hadoop_output/flower_foveon_rgb16bit_32/cluster-0/part-r-00000,spark_output/flower_foveon_rgb16bit_32/part-00000,6.743,32,01
07:46:46-21/11/2023,flower_foveon_rgb16bit_linear,hadoop_output/flower_foveon_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/flower_foveon_rgb16bit_linear_32/part-00000,6.613,32,01
07:46:53-21/11/2023,flower_foveon_rgb8bit,hadoop_output/flower_foveon_rgb8bit_32/cluster-0/part-r-00000,spark_output/flower_foveon_rgb8bit_32/part-00000,6.718,32,01
07:47:05-21/11/2023,hdr_rgb16bit,hadoop_output/hdr_rgb16bit_32/cluster-0/part-r-00000,spark_output/hdr_rgb16bit_32/part-00000,12.177,32,01
07:47:17-21/11/2023,hdr_rgb16bit_linear,hadoop_output/hdr_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/hdr_rgb16bit_linear_32/part-00000,12.036,32,01
07:47:29-21/11/2023,hdr_rgb8bit,hadoop_output/hdr_rgb8bit_32/cluster-0/part-r-00000,spark_output/hdr_rgb8bit_32/part-00000,12.125,32,01
07:47:41-21/11/2023,leaves_iso_1600_rgb16bit,hadoop_output/leaves_iso_1600_rgb16bit_32/cluster-0/part-r-00000,spark_output/leaves_iso_1600_rgb16bit_32/part-00000,11.602,32,01
07:47:53-21/11/2023,leaves_iso_1600_rgb16bit_linear,hadoop_output/leaves_iso_1600_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/leaves_iso_1600_rgb16bit_linear_32/part-00000,11.751,32,01
07:48:04-21/11/2023,leaves_iso_1600_rgb8bit,hadoop_output/leaves_iso_1600_rgb8bit_32/cluster-0/part-r-00000,spark_output/leaves_iso_1600_rgb8bit_32/part-00000,11.7,32,01
07:48:16-21/11/2023,leaves_iso_200_rgb16bit,hadoop_output/leaves_iso_200_rgb16bit_32/cluster-0/part-r-00000,spark_output/leaves_iso_200_rgb16bit_32/part-00000,11.654,32,01
07:48:28-21/11/2023,leaves_iso_200_rgb16bit_linear,hadoop_output/leaves_iso_200_rgb16bit_linear_32/cluster-0/part-r-00000,spark_output/leaves_iso_200_rgb16bit_linear_32/part-00000,11.942,32,01
07:48:40-21/11/2023,leaves_iso_200_rgb8bit,hadoop_output/leaves_iso_200_rgb8bit_32/cluster-0/part-r-00000,spark_output/leaves_iso_200_rgb8bit_32/part-00000,11.843,32,01
